3.38156267	3.38911268
4.52787538	5.85417810
2.65568187	4.41199472
2.76523467	3.71541365
2.84656011	4.17550645
3.89067196	6.48838087
3.47580524	3.63284876
5.91129845	6.68076853
3.92889397	5.09844661
4.56183537	5.62329929
4.57407171	5.39765069
4.37173356	5.46116549
4.19169388	4.95469359
5.24408518	4.66148767
2.83584020	3.76801716
5.63526969	6.31211438
4.68632968	5.66524110
2.85051337	4.62645627
5.11015730	7.36319662
5.18256377	4.64650909
5.70732809	6.68103995
3.57968458	4.80278074
5.63937773	6.12043594
4.26346851	4.68942896
2.53651693	3.88449078
3.22382902	4.94255585
4.92948801	5.95501971
5.79295774	5.10839305
2.81684824	4.81895769
3.88882414	5.10036564
3.34323419	5.89301345
5.87973414	5.52141664
3.10391912	3.85710242
5.33150572	4.68074235
3.37542687	4.56537852
4.77667888	6.25435039
2.67574630	3.73096988
5.50027665	5.67948113
1.79709714	3.24753885
4.32251470	5.11110472
4.42100445	6.02563978
3.17929886	4.43686032
3.03354125	3.97879278
4.60934820	5.87979200
2.96378859	3.30024835
3.97176248	5.40773735
1.18023321	2.87869409
1.91895045	5.07107848
3.95524687	4.50532710
5.11795499	6.08507386
